,r2
354,-7.435485921693566e-05
355,-0.0019139503054767712
356,-7.435485921693566e-05
357,-3.140098649670941e-05
358,-7.435485921693566e-05
359,-0.0019139503054767712
360,-0.0019139503054767712
361,-0.00024987854710822204
362,-7.435485921693566e-05
363,-7.435485921693566e-05
364,-0.0019139503054767712
365,-3.140098649670941e-05
366,-7.435485921693566e-05
367,-7.435485921693566e-05
368,-7.435485921693566e-05
369,-9.308945548788597e-06
370,-7.435485921693566e-05
371,-7.435485921693566e-05
372,-0.0019139503054767712
373,-3.140098649670941e-05
374,-7.435485921693566e-05
375,-0.0019139503054767712
376,-0.0019139503054767712
377,-0.00024987854710822204
378,-7.435485921693566e-05
379,-0.0019139503054767712
380,-7.435485921693566e-05
381,-3.140098649670941e-05
382,-7.435485921693566e-05
383,-0.0019139503054767712
384,-0.0019139503054767712
385,-0.00024987854710822204
386,-0.0019139503054767712
387,-0.0019139503054767712
388,-0.0019139503054767712
389,
390,-0.0019139503054767712
391,-0.0019139503054767712
392,-7.435485921693566e-05
393,-0.00024987854710822204
394,-0.0019139503054767712
395,-0.0019139503054767712
396,-0.0019139503054767712
397,
398,-0.0019139503054767712
399,-7.435485921693566e-05
400,-0.0019139503054767712
401,-0.00024987854710822204
402,-0.0019139503054767712
403,-7.435485921693566e-05
404,-7.435485921693566e-05
405,-3.140098649670941e-05
406,-0.0019139503054767712
407,-7.435485921693566e-05
408,-0.0019139503054767712
409,-0.00024987854710822204
410,-0.0019139503054767712
411,-0.0019139503054767712
412,-0.0019139503054767712
413,
414,-0.0019139503054767712
415,-0.0019139503054767712
416,-7.435485921693566e-05
417,-0.00024987854710822204
418,-0.0019139503054767712
419,-0.0019139503054767712
420,-0.0019139503054767712
421,
422,-0.0019139503054767712
423,-0.0019139503054767712
424,-0.0019139503054767712
425,-0.00024987854710822204
426,-7.435485921693566e-05
427,-0.0019139503054767712
428,-0.0019139503054767712
429,-3.140098649670941e-05
430,-7.435485921693566e-05
431,-7.435485921693566e-05
432,-0.0019139503054767712
433,-0.00024987854710822204
434,-0.0019139503054767712
435,-7.435485921693566e-05
436,-0.0019139503054767712
437,-3.140098649670941e-05
438,-7.435485921693566e-05
439,-7.435485921693566e-05
440,-0.0019139503054767712
441,-0.00024987854710822204
442,-7.435485921693566e-05
443,-0.0019139503054767712
