label1,label2,squared_distance
55,7,1
7,57,0.6875
57,7,0.6875
7,61,0.5
61,7,0.5
7,72,0.6875
72,7,0.6875
7,73,1.1875
73,7,1.1875
7,74,0.6875
74,7,0.6875
7,75,0.1875
75,7,0.1875
7,76,0.5
76,7,0.5
7,78,0.5
78,7,0.5
7,79,1
79,7,1
7,80,0.1875
80,7,0.1875
7,81,0.6875
81,7,0.6875
7,82,1.1875
82,7,1.1875
7,83,0.6875
83,7,0.6875
7,84,0.5
84,7,0.5
7,96,1.1875
96,7,1.1875
7,98,1.1875
98,7,1.1875
7,104,0.6875
104,7,0.6875
7,123,0.6875
123,7,0.6875
7,126,0.5
126,7,0.5
7,129,1.1875
129,7,1.1875
7,131,1.1875
131,7,1.1875
7,151,1
151,7,1
8,9,0.5
9,8,0.5
8,10,0.5
10,8,0.5
8,11,0.5
11,8,0.5
8,12,0.1875
12,8,0.1875
8,13,1.1875
13,8,1.1875
8,14,1.1875
14,8,1.1875
8,15,1.1875
15,8,1.1875
8,16,1
16,8,1
8,32,1
32,8,1
8,51,0.5
51,8,0.5
8,52,1.1875
52,8,1.1875
8,53,1.1875
53,8,1.1875
8,54,0.1875
54,8,0.1875
8,55,1.1875
55,8,1.1875
8,56,1
56,8,1
8,57,0.5
57,8,0.5
8,59,0.5
59,8,0.5
8,60,0.6875
60,8,0.6875
8,61,0.6875
61,8,0.6875
8,62,0.6875
62,8,0.6875
8,80,1
80,8,1
8,146,0.5
146,8,0.5
8,148,1.1875
148,8,1.1875
8,149,1.1875
149,8,1.1875
8,150,1.1875
150,8,1.1875
8,151,0.1875
151,8,0.1875
8,152,1
152,8,1
8,153,0.5
153,8,0.5
8,154,0.5
154,8,0.5
8,156,0.6875
156,8,0.6875
8,157,0.6875
157,8,0.6875
8,159,0.6875
159,8,0.6875
8,197,0.6875
197,8,0.6875
8,198,0.6875
198,8,0.6875
8,199,0.6875
199,8,0.6875
8,201,0.5
201,8,0.5
8,204,1.1875
204,8,1.1875
8,205,0.1875
205,8,0.1875
8,206,1.1875
206,8,1.1875
8,207,1.1875
207,8,1.1875
9,10,0.5
10,9,0.5
9,11,0.5
11,9,0.5
9,12,0.1875
12,9,0.1875
9,13,0.1875
13,9,0.1875
9,14,0.6875
14,9,0.6875
9,15,0.6875
15,9,0.6875
9,17,1
17,9,1
9,26,0.5
26,9,0.5
9,28,1.1875
28,9,1.1875
9,31,0.6875
31,9,0.6875
9,32,0.5
32,9,0.5
9,33,1
33,9,1
9,34,0.5
34,9,0.5
9,36,0.6875
36,9,0.6875
9,39,1.1875
39,9,1.1875
9,53,1.1875
53,9,1.1875
9,54,0.6875
54,9,0.6875
9,57,1
57,9,1
9,61,0.6875
61,9,0.6875
9,62,1.1875
62,9,1.1875
9,75,0.5
75,9,0.5
9,76,1.1875
76,9,1.1875
9,78,0.6875
78,9,0.6875
9,80,0.5
80,9,0.5
9,81,1
81,9,1
9,83,0.5
83,9,0.5
9,84,0.6875
84,9,0.6875
9,86,1.1875
86,9,1.1875
9,104,0.5
104,9,0.5
9,108,1.1875
108,9,1.1875
9,126,1.1875
126,9,1.1875
9,149,1.1875
149,9,1.1875
9,151,0.6875
151,9,0.6875
9,153,1
153,9,1
9,157,0.6875
157,9,0.6875
9,159,1.1875
159,9,1.1875
9,175,1.1875
175,9,1.1875
9,205,1.1875
205,9,1.1875
10,11,0.5
11,10,0.5
10,12,0.1875
12,10,0.1875
10,13,0.6875
13,10,0.6875
10,14,0.6875
14,10,0.6875
10,15,0.1875
15,10,0.1875
10,16,0.5
16,10,0.5
10,17,0.5
17,10,0.5
10,18,1
18,10,1
10,20,0.6875
20,10,0.6875
10,21,1.1875
21,10,1.1875
10,34,1
34,10,1
10,54,0.6875
54,10,0.6875
10,55,1.1875
55,10,1.1875
10,57,0.5
57,10,0.5
10,58,1
58,10,1
10,59,0.5
59,10,0.5
10,60,0.6875
60,10,0.6875
10,61,0.1875
61,10,0.1875
10,62,0.1875
62,10,0.1875
10,63,0.6875
63,10,0.6875
10,65,0.5
65,10,0.5
10,68,1.1875
68,10,1.1875
10,69,0.6875
69,10,0.6875
10,80,0.5
80,10,0.5
10,82,1
82,10,1
10,83,0.5
83,10,0.5
10,84,0.6875
84,10,0.6875
10,86,1.1875
86,10,1.1875
10,88,0.5
88,10,0.5
10,92,1.1875
92,10,1.1875
10,126,1.1875
126,10,1.1875
10,131,0.5
131,10,0.5
10,132,1.1875
132,10,1.1875
10,134,0.6875
134,10,0.6875
10,151,1.1875
151,10,1.1875
10,154,1
154,10,1
10,157,1.1875
157,10,1.1875
10,159,0.6875
159,10,0.6875
10,205,0.6875
205,10,0.6875
10,207,1.1875
207,10,1.1875
10,213,1.1875
213,10,1.1875
11,12,0.1875
12,11,0.1875
11,13,0.6875
13,11,0.6875
11,14,0.1875
14,11,0.1875
11,15,0.6875
15,11,0.6875
11,16,0.5
16,11,0.5
11,17,0.5
17,11,0.5
11,19,1
19,11,1
11,20,0.6875
20,11,0.6875
11,21,1.1875
21,11,1.1875
11,32,0.5
32,11,0.5
11,34,0.5
34,11,0.5
11,35,1
35,11,1
11,36,0.6875
36,11,0.6875
11,39,1.1875
39,11,1.1875
11,40,0.5
40,11,0.5
11,44,1.1875
44,11,1.1875
11,54,1.1875
54,11,1.1875
11,59,1
59,11,1
11,61,1.1875
61,11,1.1875
11,62,0.6875
62,11,0.6875
11,83,1
83,11,1
11,150,1.1875
150,11,1.1875
11,151,0.6875
151,11,0.6875
11,153,0.5
153,11,0.5
11,154,0.5
154,11,0.5
11,155,1
155,11,1
11,156,0.6875
156,11,0.6875
11,157,0.1875
157,11,0.1875
11,158,0.6875
158,11,0.6875
11,159,0.1875
159,11,0.1875
11,161,0.5
161,11,0.5
11,164,1.1875
164,11,1.1875
11,165,0.6875
165,11,0.6875
11,175,1.1875
175,11,1.1875
11,178,0.5
178,11,0.5
11,180,1.1875
180,11,1.1875
11,183,0.6875
183,11,0.6875
11,205,0.6875
205,11,0.6875
11,206,1.1875
206,11,1.1875
11,213,1.1875
213,11,1.1875
12,13,0.5
13,12,0.5
12,14,0.5
14,12,0.5
12,15,0.5
15,12,0.5
12,16,0.6875
16,12,0.6875
12,17,0.6875
17,12,0.6875
12,20,1
20,12,1
12,26,1.1875
26,12,1.1875
12,32,0.6875
32,12,0.6875
12,34,0.6875
34,12,0.6875
12,36,1
36,12,1
12,40,1.1875
40,12,1.1875
12,51,1.1875
51,12,1.1875
12,54,0.5
54,12,0.5
12,57,0.6875
57,12,0.6875
12,59,0.6875
59,12,0.6875
12,60,1
60,12,1
12,61,0.5
61,12,0.5
12,62,0.5
62,12,0.5
12,65,1.1875
65,12,1.1875
12,75,1.1875
75,12,1.1875
12,80,0.6875
80,12,0.6875
12,83,0.6875
83,12,0.6875
12,84,1
84,12,1
12,88,1.1875
88,12,1.1875
12,104,1.1875
104,12,1.1875
12,131,1.1875
131,12,1.1875
12,146,1.1875
146,12,1.1875
12,151,0.5
151,12,0.5
12,153,0.6875
153,12,0.6875
12,154,0.6875
154,12,0.6875
12,156,1
156,12,1
12,157,0.5
157,12,0.5
12,159,0.5
159,12,0.5
12,161,1.1875
161,12,1.1875
12,178,1.1875
178,12,1.1875
12,201,1.1875
201,12,1.1875
12,205,0.5
205,12,0.5
13,14,0.5
14,13,0.5
13,15,0.5
15,13,0.5
13,17,0.6875
17,13,0.6875
13,21,1
21,13,1
13,26,0.6875
26,13,0.6875
13,31,0.5
31,13,0.5
13,32,0.6875
32,13,0.6875
13,33,0.6875
33,13,0.6875
13,34,0.1875
34,13,0.1875
13,35,1.1875
35,13,1.1875
13,36,0.5
36,13,0.5
13,37,1
37,13,1
13,39,0.5
39,13,0.5
13,40,1.1875
40,13,1.1875
13,41,1.1875
41,13,1.1875
13,61,1
61,13,1
13,75,0.6875
75,13,0.6875
13,78,0.5
78,13,0.5
13,80,0.6875
80,13,0.6875
13,81,0.6875
81,13,0.6875
13,82,1.1875
82,13,1.1875
13,83,0.1875
83,13,0.1875
13,84,0.5
84,13,0.5
13,85,1
85,13,1
13,86,0.5
86,13,0.5
13,88,1.1875
88,13,1.1875
13,89,1.1875
89,13,1.1875
13,98,1.1875
98,13,1.1875
13,99,1.1875
99,13,1.1875
13,104,0.1875
104,13,0.1875
13,105,1.1875
105,13,1.1875
13,106,0.6875
106,13,0.6875
13,107,0.6875
107,13,0.6875
13,108,0.5
108,13,0.5
13,112,0.6875
112,13,0.6875
13,157,1
157,13,1
14,15,0.5
15,14,0.5
14,16,0.6875
16,14,0.6875
14,17,0.1875
17,14,0.1875
14,18,1.1875
18,14,1.1875
14,19,0.6875
19,14,0.6875
14,20,0.5
20,14,0.5
14,21,0.5
21,14,0.5
14,22,1
22,14,1
14,32,0.6875
32,14,0.6875
14,33,1.1875
33,14,1.1875
14,34,0.1875
34,14,0.1875
14,35,0.6875
35,14,0.6875
14,36,0.5
36,14,0.5
14,38,1
38,14,1
14,39,0.5
39,14,0.5
14,40,0.1875
40,14,0.1875
14,41,0.6875
41,14,0.6875
14,42,0.6875
42,14,0.6875
14,43,1.1875
43,14,1.1875
14,44,0.5
44,14,0.5
14,62,1
62,14,1
14,83,0.6875
83,14,0.6875
14,86,1
86,14,1
14,88,1.1875
88,14,1.1875
14,91,1.1875
91,14,1.1875
14,104,1.1875
104,14,1.1875
14,107,1.1875
107,14,1.1875
14,112,0.6875
112,14,0.6875
14,153,1.1875
153,14,1.1875
14,154,1.1875
154,14,1.1875
14,157,0.5
157,14,0.5
14,158,1
158,14,1
14,159,0.5
159,14,0.5
14,161,0.6875
161,14,0.6875
14,165,0.5
165,14,0.5
14,178,0.6875
178,14,0.6875
14,183,0.5
183,14,0.5
14,185,1.1875
185,14,1.1875
14,186,1.1875
186,14,1.1875
15,16,0.6875
16,15,0.6875
15,17,0.1875
17,15,0.1875
15,18,0.6875
18,15,0.6875
15,19,1.1875
19,15,1.1875
15,20,0.5
20,15,0.5
15,21,0.5
21,15,0.5
15,23,1
23,15,1
15,34,0.6875
34,15,0.6875
15,39,1
39,15,1
15,40,1.1875
40,15,1.1875
15,42,1.1875
42,15,1.1875
15,57,1.1875
57,15,1.1875
15,59,1.1875
59,15,1.1875
15,61,0.5
61,15,0.5
15,62,0.5
62,15,0.5
15,63,1
63,15,1
15,65,0.6875
65,15,0.6875
15,69,0.5
69,15,0.5
15,80,0.6875
80,15,0.6875
15,81,1.1875
81,15,1.1875
15,82,0.6875
82,15,0.6875
15,83,0.1875
83,15,0.1875
15,84,0.5
84,15,0.5
15,86,0.5
86,15,0.5
15,87,1
87,15,1
15,88,0.1875
88,15,0.1875
15,89,0.6875
89,15,0.6875
15,90,1.1875
90,15,1.1875
15,91,0.6875
91,15,0.6875
15,92,0.5
92,15,0.5
15,104,1.1875
104,15,1.1875
15,106,1.1875
106,15,1.1875
15,112,0.6875
112,15,0.6875
15,131,0.6875
131,15,0.6875
15,134,0.5
134,15,0.5
15,137,1.1875
137,15,1.1875
15,139,1.1875
139,15,1.1875
15,159,1
159,15,1
16,17,0.5
17,16,0.5
16,18,0.5
18,16,0.5
16,19,0.5
19,16,0.5
16,20,0.1875
20,16,0.1875
16,21,1.1875
21,16,1.1875
16,22,1.1875
22,16,1.1875
16,23,1.1875
23,16,1.1875
16,40,1
40,16,1
16,59,0.5
59,16,0.5
16,60,1.1875
60,16,1.1875
16,61,1.1875
61,16,1.1875
16,62,0.1875
62,16,0.1875
16,63,1.1875
63,16,1.1875
16,64,1
64,16,1
16,65,0.5
65,16,0.5
16,67,0.5
67,16,0.5
16,68,0.6875
68,16,0.6875
16,69,0.6875
69,16,0.6875
16,70,0.6875
70,16,0.6875
16,88,1
88,16,1
16,154,0.5
154,16,0.5
16,156,1.1875
156,16,1.1875
16,157,1.1875
157,16,1.1875
16,158,1.1875
158,16,1.1875
16,159,0.1875
159,16,0.1875
16,160,1
160,16,1
16,161,0.5
161,16,0.5
16,162,0.5
162,16,0.5
16,164,0.6875
164,16,0.6875
16,165,0.6875
165,16,0.6875
16,167,0.6875
167,16,0.6875
16,205,0.6875
205,16,0.6875
16,206,0.6875
206,16,0.6875
16,207,0.6875
207,16,0.6875
16,209,0.5
209,16,0.5
16,212,1.1875
212,16,1.1875
16,213,0.1875
213,16,0.1875
16,214,1.1875
214,16,1.1875
16,215,1.1875
215,16,1.1875
17,18,0.5
18,17,0.5
17,19,0.5
19,17,0.5
17,20,0.1875
20,17,0.1875
17,21,0.1875
21,17,0.1875
17,22,0.6875
22,17,0.6875
17,23,0.6875
23,17,0.6875
17,34,0.5
34,17,0.5
17,36,1.1875
36,17,1.1875
17,39,0.6875
39,17,0.6875
17,40,0.5
40,17,0.5
17,41,1
41,17,1
17,42,0.5
42,17,0.5
17,44,0.6875
44,17,0.6875
17,47,1.1875
47,17,1.1875
17,61,1.1875
61,17,1.1875
17,62,0.6875
62,17,0.6875
17,65,1
65,17,1
17,69,0.6875
69,17,0.6875
17,70,1.1875
70,17,1.1875
17,83,0.5
83,17,0.5
17,84,1.1875
84,17,1.1875
17,86,0.6875
86,17,0.6875
17,88,0.5
88,17,0.5
17,89,1
89,17,1
17,91,0.5
91,17,0.5
17,92,0.6875
92,17,0.6875
17,94,1.1875
94,17,1.1875
17,112,0.5
112,17,0.5
17,116,1.1875
116,17,1.1875
17,134,1.1875
134,17,1.1875
17,157,1.1875
157,17,1.1875
17,159,0.6875
159,17,0.6875
17,161,1
161,17,1
17,165,0.6875
165,17,0.6875
17,167,1.1875
167,17,1.1875
17,183,1.1875
183,17,1.1875
17,213,1.1875
213,17,1.1875
18,19,0.5
19,18,0.5
18,20,0.1875
20,18,0.1875
18,21,0.6875
21,18,0.6875
18,22,0.6875
22,18,0.6875
18,23,0.1875
23,18,0.1875
18,42,1
42,18,1
18,49,0.5
49,18,0.5
18,52,1.1875
52,18,1.1875
18,53,0.6875
53,18,0.6875
18,62,0.6875
62,18,0.6875
18,63,1.1875
63,18,1.1875
18,65,0.5
65,18,0.5
18,66,1
66,18,1
18,67,0.5
67,18,0.5
18,68,0.6875
68,18,0.6875
18,69,0.1875
69,18,0.1875
18,70,0.1875
70,18,0.1875
18,71,0.6875
71,18,0.6875
18,72,0.5
72,18,0.5
18,76,1.1875
76,18,1.1875
18,88,0.5
88,18,0.5
18,90,1
90,18,1
18,91,0.5
91,18,0.5
18,92,0.6875
92,18,0.6875
18,94,1.1875
94,18,1.1875
18,134,1.1875
134,18,1.1875
18,139,0.5
139,18,0.5
18,140,1.1875
140,18,1.1875
18,142,0.6875
142,18,0.6875
18,159,1.1875
159,18,1.1875
18,162,1
162,18,1
18,165,1.1875
165,18,1.1875
18,167,0.6875
167,18,0.6875
18,197,1.1875
197,18,1.1875
18,213,0.6875
213,18,0.6875
18,215,1.1875
215,18,1.1875
19,20,0.1875
20,19,0.1875
19,21,0.6875
21,19,0.6875
19,22,0.1875
22,19,0.1875
19,23,0.6875
23,19,0.6875
19,24,0.5
24,19,0.5
19,28,1.1875
28,19,1.1875
19,40,0.5
40,19,0.5
19,42,0.5
42,19,0.5
19,43,1
43,19,1
19,44,0.6875
44,19,0.6875
19,47,1.1875
47,19,1.1875
19,62,1.1875
62,19,1.1875
19,67,1
67,19,1
19,69,1.1875
69,19,1.1875
19,70,0.6875
70,19,0.6875
19,91,1
91,19,1
19,145,0.5
145,19,0.5
19,148,1.1875
148,19,1.1875
19,149,0.6875
149,19,0.6875
19,158,1.1875
158,19,1.1875
19,159,0.6875
159,19,0.6875
19,161,0.5
161,19,0.5
19,162,0.5
162,19,0.5
19,163,1
163,19,1
19,164,0.6875
164,19,0.6875
19,165,0.1875
165,19,0.1875
19,166,0.6875
166,19,0.6875
19,167,0.1875
167,19,0.1875
19,183,1.1875
183,19,1.1875
19,186,0.5
186,19,0.5
19,188,1.1875
188,19,1.1875
19,191,0.6875
191,19,0.6875
19,197,1.1875
197,19,1.1875
19,213,0.6875
213,19,0.6875
19,214,1.1875
214,19,1.1875
20,21,0.5
21,20,0.5
20,22,0.5
22,20,0.5
20,23,0.5
23,20,0.5
20,24,1.1875
24,20,1.1875
20,34,1.1875
34,20,1.1875
20,40,0.6875
40,20,0.6875
20,42,0.6875
42,20,0.6875
20,44,1
44,20,1
20,49,1.1875
49,20,1.1875
20,59,1.1875
59,20,1.1875
20,62,0.5
62,20,0.5
20,65,0.6875
65,20,0.6875
20,67,0.6875
67,20,0.6875
20,68,1
68,20,1
20,69,0.5
69,20,0.5
20,70,0.5
70,20,0.5
20,72,1.1875
72,20,1.1875
20,83,1.1875
83,20,1.1875
20,88,0.6875
88,20,0.6875
20,91,0.6875
91,20,0.6875
20,92,1
92,20,1
20,112,1.1875
112,20,1.1875
20,139,1.1875
139,20,1.1875
20,145,1.1875
145,20,1.1875
20,154,1.1875
154,20,1.1875
20,159,0.5
159,20,0.5
20,161,0.6875
161,20,0.6875
20,162,0.6875
162,20,0.6875
20,164,1
164,20,1
20,165,0.5
165,20,0.5
20,167,0.5
167,20,0.5
20,186,1.1875
186,20,1.1875
20,209,1.1875
209,20,1.1875
20,213,0.5
213,20,0.5
21,22,0.5
22,21,0.5
21,23,0.5
23,21,0.5
21,24,1.1875
24,21,1.1875
21,25,1.1875
25,21,1.1875
21,34,0.6875
